complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
20-0254,2020-06-09 04:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 6-1-20 at 6:00 PM, they witnessed departmental policies being violated by unknown officers while in the confines of the 3rd District.",2020-06-01,06:00 PM,5470
20-0255,2020-06-09 04:00:00+00,0600,PHYSICAL ABUSE,"According to the complainant, on 6-2-20 at 5:45 PM, they were physically abused by a police supervisor while in the confines of 6th District.",2020-06-02,05:45 PM,5471
20-0245,2020-06-04 04:00:00+00,0900,PHYSICAL ABUSE,"According to the complainant, on 5-30-20 at 3:30 PM, they were physically abused by an officer while in the confines of the 9th District.",2020-05-30,03:30 PM,5461
20-0246,2020-06-05 04:00:00+00,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-20 at 4:44 PM, departmental policies were violated by officers in the confines of the 19th District.",2020-06-01,04:44 PM,5462
20-0256,2020-06-10 04:00:00+00,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-20 at 6:45 PM, departmental policies were violated by an officer assigned to the Highway Patrol Unit.",2020-06-02,06:45 PM,5472
20-0257,2020-06-09 04:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-20 at 8:00 PM, they are missing property by an unknown officer while in the confines of the 9th District.",2020-06-01,08:00 PM,5473
20-0258,2020-06-09 04:00:00+00,0900,PHYSICAL ABUSE,"According to the complainant, on 5-30-20 at 5:14 PM, they were physically abused by an officer assigned to the Narcotic Strike Force.",2020-05-30,05:14 PM,5474
20-0259,2020-06-09 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 5-31-20 at 3:05 PM, they were physically abused by unknown officers within the confines of the 24th District.",2020-05-31,03:05 PM,5475
20-0260,2020-06-09 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 5-31-20 at 6:00 PM, they were physically assaulted by an officer assigned to the 24th District.",2020-05-31,06:00 PM,5476
20-0261,2020-06-12 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-20, a departmental policy was violated by an officer assigned to the 19th District.",2020-06-02,,5477
20-0262,2020-06-10 04:00:00+00,1200,PHYSICAL ABUSE,"According to the complainant, on 5-24-20 at 5:15 PM, they were physically abused by officers and did not receive proper service from a police supervisor while in the confines of the 12th District.",2020-05-24,05:15 PM,5478
20-0263,2020-06-10 04:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-20 at 3:30 PM, departmental policies were violated and they were improperly stopped and frisked by a police supervisor and several officers while in the confines of the 9th District.",2020-06-02,03:30 PM,5479
20-0264,2020-06-10 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, the Social Media Policy was violated by an officer assigned to the 19th District.",,,5480
20-0265,2020-06-10 04:00:00+00,0600,PHYSICAL ABUSE,"According to the complainant, on 5-31-20 at 5:00 PM, they were missing property and were physically abused by an unknown officer and a police supervisor assigned to the 24th District",2020-05-31,05:00 PM,5481
20-0266,2020-06-12 04:00:00+00,1400,LACK OF SERVICE,"According to the complainants, since April of 2020, they have not received proper service from officers assigned to the 14th District.",,,5482
20-0267,2020-06-11 04:00:00+00,0500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on an unknown date, the department¿s social media policy was violated by an officer assigned to the 5th District.",,,5483
20-0268,2020-06-11 04:00:00+00,0900,VERBAL ABUSE,"According to the complainant, on 5-13-20 at 4:30 PM, unknown persons were verbally abused by an officer assigned to the 9th District.",2020-05-13,04:30 PM,5484
20-0269,2020-06-16 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on an unknown date and time, they were physically abused by officers assigned to the 24th District.",,,5485
20-0270,2020-06-11 04:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-28-20 at 8:00 PM, an officer assigned to the 9th District violated the social media policy.",2020-05-28,08:00 PM,5486
20-0271,2020-06-15 04:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-20 at 5:00 PM, they were falsely arrested by officers while in the confines of the 6th District.",2020-06-01,05:00 PM,5487
20-0272,2020-06-16 04:00:00+00,0900,PHYSICAL ABUSE,"According to the complainant, on 5-30-20, they were physically abused and departmental policies were violated by a sergeant assigned to the 35th District, while in the confines of the 9th District.",2020-05-30,,5488
20-0273,2020-06-15 04:00:00+00,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-11-20 at 12:00 PM, they were verbally abused by an officer assigned to the 15th District.",2020-06-11,12:00 PM,5489
20-0274,2020-06-15 04:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 6-10-20 at 7:45 PM, they did not receive proper service from an officer within the confines of the 3rd District.",2020-06-10,07:45 PM,5490
20-0275,2020-06-16 04:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on several dates and times, they did not receive proper service from supervisors while in the confines of the 22nd District.",,,5491
20-0276,2020-06-16 04:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-4-20 at 4:49 PM, they did not receive proper service and a departmental policy was violated by officers while in the confines of the 9th District.",2020-06-04,04:49 PM,5492
20-0277,2020-06-16 04:00:00+00,0100,PHYSICAL ABUSE,"According to the complainant, on 5-31-20 at 1:00 AM, departmental policies were violated and they were physically and verbally abused by officers while in the confines of the 1st District.",2020-05-31,01:00 AM,5493
20-0542,2020-10-19 04:00:00+00,0600,FALSIFICATION,"According to the complainant, on 1-13-15 at 12:00 PM, they are alleging that a civilian assigned to Police Radio, falsified information on an application within the confines of the 6th District.",2015-01-13,12:00 PM,5758
20-0543,2020-10-19 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-19-20 at 6:20 PM, they state that unknown officers violated police department policy in reference to wearing masks within the confines of the 15th District.",2020-09-19,06:20 PM,5759
20-0544,2020-10-19 04:00:00+00,1200,VERBAL ABUSE,"According to the complainant, on 10-18-20 at 4:29 PM, they were verbally abused by officers while in the confines of the 12th District.",2020-10-18,04:29 PM,5760
20-0545,2020-10-20 04:00:00+00,0500,HARASSMENT,"According to the complainant, they were harassed and threatened by an off-duty sergeant while in the confines of the 5th District.",,,5761
20-0546,2020-10-20 04:00:00+00,1500,VERBAL ABUSE,"According to the complainant, on 10-20-20 at 2:30 AM, they were verbally abused by an officer while in the confines of the 15th District.",2020-10-20,02:30 AM,5762
20-0547,2020-10-20 04:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 1-31-19 at 6:31 PM, they did not receive proper service from officers assigned to the 18th District.",2019-01-31,06:31 PM,5763
20-0548,2020-10-21 04:00:00+00,1500,DOMESTIC,"According to the complainant, on 10-19-20 at 3:00 PM, departmental policies were violated and they were harassed by an officer assigned to the 15th District.",2020-10-19,03:00 PM,5764
20-0549,2020-10-21 04:00:00+00,0700,HARASSMENT,"According to the complainant, on 10-19-20 at 3:00 PM, they were verbally harassed by an off-duty sergeant assigned to the 24th District while in the confines of the 7th District.",2020-10-19,03:00 PM,5765
20-0550,2020-10-22 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 10-14-20 at 5:13 PM, they did not receive proper service from officers assigned to the 15th District.",2020-10-14,05:13 PM,5766
20-0551,2020-10-22 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-20 at 12:30 AM, they witnessed unknown 19th District officers violate departmental policy.",2020-10-21,12:30 AM,5767
20-0552,2020-10-22 04:00:00+00,0300,LACK OF SERVICE,"According to the complainant, since September of 2020, they did not receive proper service from several officers while in the confines of the 3rd District.",,,5768
20-0553,2020-10-26 04:00:00+00,2500,PHYSICAL ABUSE,"According to the complainant, on 10-17-20 at 8:00 PM, departmental policies were violated and they were physically abused by officers, while in the confines of the 25th District.",2020-10-17,08:00 PM,5769
20-0554,2020-10-27 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 10-22-20 at 10:00 AM, they did not receive proper service from an officer while in the confines of the 15th District.",2020-10-22,10:00 AM,5770
20-0555,2020-10-27 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-20 at 5:45 AM, unknown officers executed a search warrant of their home and they are now missing property, within the confines of the 19th District.",2020-10-22,05:45 AM,5771
20-0556,2020-10-27 04:00:00+00,0200,LACK OF SERVICE,"According to the complainant, on 10-15-20, they did not receive proper service from an officer assigned to the 2nd District.",2020-10-15,,5772
20-0557,2020-10-27 04:00:00+00,0800,LACK OF SERVICE,"According to the complainants, they have not receive proper service from an officer while in the confines of the 8th District.",,,5773
20-0558,2020-10-27 04:00:00+00,2600,LACK OF SERVICE,"According to the complainants, on 10-22-20 at 2:25 PM, they did not receive proper service from an officer assigned to the 26th District.",2020-10-22,02:25 PM,5774
20-0559,2020-10-28 04:00:00+00,0500,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 10-25-20 at 6:00 PM, they were harassed by an officer while in the confines of the 5th District.",2020-10-25,06:00 PM,5775
20-0560,2020-10-26 04:00:00+00,0700,CRIMINAL ALLEGATION,"According to the complainants, on 10-20-20 at 7:07 PM, they were treated unprofessionally by an officer assigned to the 7th District.",2020-10-20,07:07 PM,5776
20-0561,2020-10-27 04:00:00+00,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-20-2 at 11:00 PM, they were treated unprofessionally by an officer assigned to the 15th District.",2002-10-20,11:00 PM,5777
20-0562,2020-10-28 04:00:00+00,0800,LACK OF SERVICE,"According to the complainant, on 10-8-20 at 6:30 PM, they were treated unprofessionally and did not receive proper service from a sergeant and several officers while in the confines of the 8th District.",2020-10-08,06:30 PM,5778
20-0563,2020-10-29 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 10-3-20 at 5:25 PM, they did not receive proper service from unknown officers within the confines of the 15th District.",2020-10-03,05:25 PM,5779
20-0564,2020-10-29 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, they were physically abused by officers while in the confines of the 18th District.",,,5780
20-0565,2020-10-30 04:00:00+00,1200,LACK OF SERVICE,"According to the complainant, on 10-28-20 at 9:45 PM, they did not receive proper service from officers while in the confines of the 12th District.",2020-10-28,09:45 PM,5781
20-0566,2020-10-30 04:00:00+00,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-28-20 at 7:00 PM, unknown officers violated departmental mask policy within the confines of the 3rd District.",2020-10-28,07:00 PM,5782
20-0567,2020-11-02 05:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 8-12-18 at 4:55 PM, they did not receive proper service from an officer assigned to the 6th District.",2018-08-12,04:55 PM,5783
20-0568,2020-11-03 05:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, since 10-18-20 to present date, a detective has withheld their property and provided them with misinformation on how to retrieve their property.",2020-10-18,,5784
20-0569,2020-11-04 05:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 10-27-20 at 10:00 PM, they were grabbed, pushed, and struck on the head with a baton by officers, while in the confines of the 19th District.",2020-10-27,10:00 PM,5785
20-0570,2020-11-05 05:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 10-30-20 at 11:45 PM, while speaking to a detective about a case, the detective told them that they would get a supervisor to speak to them but no one came out. The complainant states that attempts at contacting the same detective are never successful.",2020-10-30,11:45 PM,5786
20-0571,2020-11-05 05:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-3-20 at 11:00 PM, officers kicked in their back door and searched their home without a warrant.",2020-11-03,11:00 PM,5787
20-0572,2020-11-05 05:00:00+00,1900,CRIMINAL ALLEGATION,"According to the complainant, beginning in May of 2020, they contracted an off-duty officer to remodel their bathroom and gave the officer money to begin the work. The complainant states the officer did not complete the work and has since failed to return any phone calls or texts.",,,5788
19-0151,2019-04-12 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-28-19 at 2:45 PM, they were improperly searched by officers assigned to the 39th District.",2019-03-28,02:45 PM,4685
19-0152,2019-04-09 04:00:00+00,1500,PHYSICAL ABUSE,"According to the complainant, on 4-5-19 at 11:00 PM, they were falsely arrested and physically abused by an officer assigned to the 15th District.",2019-04-05,11:00 PM,4686
19-0153,2019-04-12 04:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 4-9-19 at 2:23 PM, they did not receive proper service and were falsely detained by unknown officers assigned to the 6th District.",2019-04-09,02:23 PM,4687
19-0154,2019-04-11 04:00:00+00,1900,LACK OF SERVICE,"According to the complainant, on 5-2-17 at 5:00 PM, they did not receive proper service from an officer assigned to the 19th District.",2017-05-02,05:00 PM,4688
19-0155,2019-04-12 04:00:00+00,1500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-4-19 at 5:00pm, their civil rights were violated by a detective assigned to the East Detective Division. This incident occurred within the confines of the 15th District.",2019-04-04,05:00 PM,4689
19-0156,2019-04-15 04:00:00+00,1200,VERBAL ABUSE,"According to the complainant, on 4-7-19 at 4:43 PM, they were verbally abused by officers assigned to the 12th District.",2019-04-07,04:43 PM,4690
19-0157,2019-04-12 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-4-18 at 7:00 PM, they were verbally abused, did not receive proper service and had their property damaged by officers assigned to the 15th District.",2018-11-04,07:00 PM,4691
19-0158,2019-04-12 04:00:00+00,1900,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-10-19 at 9:30 AM, they are missing property, were racially profiled and verbally abused by officers assigned to the 19th District.",2019-04-10,09:30 AM,4692
19-0159,2019-04-15 04:00:00+00,1400,LACK OF SERVICE,"According to the complainant, on 4-10-19 at 2:50 PM, they did not receive proper service from officers assigned to the 14th District.",2019-04-10,02:50 PM,4693
19-0160,2019-04-15 04:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 4-9-19 at 10:40 PM, they were physically abused by officers assigned to the 19th District.",2019-04-09,10:40 PM,4694
19-0161,2019-04-15 04:00:00+00,0200,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-4-19 at 12:02 PM, they were racially profiled and improperly stopped by officers assigned to the 2nd District.",2019-04-04,12:02 PM,4695
19-0162,2019-04-15 04:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 11-20-14 at 7:00 PM, they did not receive proper service from a detective assigned to the Homicide Unit.",2014-11-20,07:00 PM,4696
19-0150,2019-04-09 04:00:00+00,2200,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 3-27-19 at 11:16 PM, they were racially profiled and verbally abused by an officer assigned to the Highway Patrol Unit.",2019-03-27,11:16 PM,4684
19-0163,2019-04-16 04:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 04-12-19 at 4:40 PM, they were falsely detained and harassed by officers assigned to the 22nd District.",2019-04-12,04:40 PM,4697
19-0164,2019-04-17 04:00:00+00,1200,LACK OF SERVICE,"According to the complainant, on 03-07-19 at 2:00 PM, they did not receive proper service from officers assigned to the 12th District.",2019-03-07,02:00 PM,4698
19-0165,2019-04-17 04:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-10-19 at 12:30 PM, they were falsely detained and searched by officers assigned to the Highway Patrol Unit.",2019-04-10,12:30 PM,4699
19-0166,2019-04-17 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-13-19 at 3:04pm, they were treated unprofessionally and that officers assigned to the 15th District did not follow proper police procedure.",2019-04-13,03:04 PM,4700
19-0167,2019-04-16 04:00:00+00,0600,HARASSMENT,"According to the complainant, on 04-9-19, they were harassed by an officer assigned to the Center City District.",2019-04-09,,4701
19-0168,2019-04-17 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 9-18-18, they did not receive proper service from an officer assigned to the 15th District and a detective assigned to Northeast Detective Division.",2018-09-18,,4702
19-0169,2019-04-18 04:00:00+00,1600,LACK OF SERVICE,"According to the complainant, on 4-14-19 at 1:19am, they did not receive proper service from an officer assigned to the 16th District.",2019-04-14,01:19 AM,4703
19-0170,2019-04-22 04:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-6-19 at 9:15 PM, a 6th District officer violated departmental policy.",2019-04-06,09:15 PM,4704
19-0171,2019-04-22 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 4-16-19 at 5:19 PM, they were verbally and physically abused by officers assigned to the 24th District.",2019-04-16,05:19 PM,4705
19-0172,2019-04-26 04:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 4-9-19 at 10:30 PM, they were physically abused by officers assigned to the 19th District.",2019-04-09,10:30 PM,4706
19-0173,2019-04-23 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 3-23-19, they did not receive proper service from officers assigned to the 15th District.",2019-03-23,,4707
19-0174,2019-04-23 04:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 02-21-19, they did not receive proper service from officers assigned to the 22nd District and Central Detective Division.",2019-02-21,,4708
19-0175,2019-04-23 04:00:00+00,0200,LACK OF SERVICE,"According to the complainant, on 4-11-19, they did not receive proper service from officers assigned to the 2nd District.",2019-04-11,,4709
19-0176,2019-04-25 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-12-19, property was not returned to them after their arrest by unknown officers within the confines of the 24th District.",2019-04-12,,4710
19-0177,2019-04-25 04:00:00+00,0900,HARASSMENT,"According to the complainant, on two separate occasions in 2018 a Sergeant assigned to the 26th District violated departmental policies.",,,4711
19-0178,2019-04-24 04:00:00+00,2500,LACK OF SERVICE,"According to the complainant, on 12-28-17 at 12:15 AM, they did not receive proper service from officers assigned to the Special Victims Unit.",2017-12-28,12:15 AM,4712
19-0179,2019-04-24 04:00:00+00,1400,HARASSMENT,"According to the complainant, on 04-22-19 at 6:30 PM, they were harassed, falsely detained and their vehicle was improperly searched by officers assigned to the 14th District.",2019-04-22,06:30 PM,4713
19-0180,2019-04-25 04:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 04-24-19 at 10:25am, officers assigned to the 18th District abused their authority and threatened them.",2019-04-24,10:25 AM,4714
19-0181,2019-04-25 04:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-20-19 at 11:00 PM, they were improperly stopped and falsely detained by unknown officers in the confines of the 22nd District.",2019-04-20,11:00 PM,4715
19-0182,2019-04-25 04:00:00+00,2400,LACK OF SERVICE,"According to the complainant, on 11-21-18 at 10:40 PM, they did not receive proper service from a detective assigned to the East Detective Division while in the confines of the 24th District.",2018-11-21,10:40 PM,4716
19-0183,2019-04-29 04:00:00+00,1600,PHYSICAL ABUSE,"According to the complainant, on 04-25-19 at 10:00 PM, they were threatened and falsely detained by officers assigned to the 16th District.",2019-04-25,10:00 PM,4717
19-0545,2019-10-22 04:00:00+00,1400,CRIMINAL ALLEGATION,"According to the complainant, on an unlisted date and time, they are missing property by an officer while in the confines of the 14th District.",,,5079
19-0546,2019-10-23 04:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on various dates, departmental policies have been violated by officers while in the confines of the 6th District.",,,5080
19-0547,2019-10-24 04:00:00+00,2400,LACK OF SERVICE,"According to the complainant, on 9-20-19, they did not receive proper service from officers while in the confines of the 24th District.",2019-09-20,,5081
19-0548,2019-10-25 04:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-18-19, they were falsely arrested and verbally abused by officers assigned to the 22nd District.",2019-10-18,,5082
19-0549,2019-10-30 04:00:00+00,1400,NON-INVESTIGATORY INCIDENT,"According to the complainant, sometime in June of 2016, they were sexually assaulted by a detective assigned to the Homicide Unit located in the confines of the 6th District.",,,5083
19-0550,2019-10-25 04:00:00+00,0800,HARASSMENT,"According to the complainant, on 10-15-19 at 7:30 PM, they were harassed and intimidated by an off duty officer assigned to the 15th District.",2019-10-15,07:30 PM,5084
19-0551,2019-10-24 04:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-19 at 9:45 PM, they were verbally abused and harassed by an officer while in the confines of the 9th District.",2019-10-22,09:45 PM,5085
19-0552,2019-10-24 04:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 10-13-19 at 4:45 AM, an officer assigned to the Accident Investigation Division failed to properly investigate an incident while in the confines of the 6th District.",2019-10-13,04:45 AM,5086
19-0553,2019-10-29 04:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-19-19 at 6:52 PM, departmental policies were violated and they were verbally abused by an officer assigned to the Highway Patrol Unit.",2019-10-19,06:52 PM,5087
19-0554,2019-10-28 04:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, sometime in the winter of 2018, officers violated departmental policies while in the confines of the 22nd District.",,,5088
19-0555,2019-10-29 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-19 at 9:30 PM, they were falsely arrested by officers assigned to the 15th District.",2019-10-21,09:30 PM,5089
19-0556,2019-10-28 04:00:00+00,2400,HARASSMENT,"According to the complainant, 10-24-19 at 3:30 PM, they were harassed by officers assigned to the 24th District.",2019-10-24,03:30 PM,5090
19-0557,2019-10-28 04:00:00+00,0600,VERBAL ABUSE,"According to the complainant, in August 2019 at 3:00 PM they were verbally abused by an officer within the confines of the 6th District.",,03:00 PM,5091
19-0558,2019-10-29 04:00:00+00,1400,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-12-19, unknown officers violated departmental policies while in the confines of the 14th District.",2019-10-12,,5092
19-0559,2019-10-29 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-19 at 4:00 AM, unknown officers violated departmental policies and damaged their vehicle while in the confines of the 39th District.",2019-09-26,04:00 AM,5093
19-0560,2019-10-30 04:00:00+00,3500,PHYSICAL ABUSE,"According to the complainant, on 9-12-19 at 9:30 PM, officers improperly entered their property and physically abused them while in the confines of the 35th District.",2019-09-12,09:30 PM,5094
19-0561,2019-10-30 04:00:00+00,1600,LACK OF SERVICE,"According to the complainant, on 10-27-19 at 1:27 PM, they were treated unprofessionally and did not receive proper service from officers assigned to the 16th District.",2019-10-27,01:27 PM,5095
19-0562,2019-10-30 04:00:00+00,0300,CRIMINAL ALLEGATION,"According to the complainant, on 10-27-19 at 10:18 AM, they were harassed by an off-duty officer and did not receive proper service from 3rd District officers.",2019-10-27,10:18 AM,5096
19-0563,2019-10-30 04:00:00+00,0800,PHYSICAL ABUSE,"According to the complainant, on 9-3-19 at 11:40 PM, they were physically abused and falsely arrested by officers assigned to the 8th District.",2019-09-03,11:40 PM,5097
19-0564,2019-10-31 04:00:00+00,1400,CRIMINAL ALLEGATION,"According to the complainant, on 10-3-19 at 6:20 AM, they are missing property and departmental policies were violated by detectives assigned to Northwest Detective Division while in the confines of the 14th District.",2019-10-03,06:20 AM,5098
19-0565,2019-10-31 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 09-27-19 at 9:52 PM, they are missing property by an officer while in the confines of the 19th District.",2019-09-27,09:52 PM,5099
19-0566,2019-10-31 04:00:00+00,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 6:00 PM, unknown officers violated departmental policy within the confines of the 26th District.",2019-10-23,06:00 PM,5100
19-0567,2019-11-01 04:00:00+00,0200,PHYSICAL ABUSE,"According to the complainant, on 10-24-19 at 6:00 PM, they were physically abused and had their property damaged by officers assigned to the 2nd District.",2019-10-24,06:00 PM,5101
19-0568,2019-10-30 04:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 7:01 PM, they were improperly cited and stopped by officers assigned to the 18th District.",2019-10-23,07:01 PM,5102
19-0569,2019-10-30 04:00:00+00,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-26-19, departmental policies were violated by an officer assigned to the 3rd District.",2019-10-26,,5103
19-0570,2019-10-31 04:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 10-28-19 at 1:00 PM, they did not receive proper service from an officer while in the confines of the 22nd District.",2019-10-28,01:00 PM,5104
19-0571,2019-11-01 04:00:00+00,2600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-29-19 at 6:50 PM, they were treated unprofessionally by officers while in the confines of the 26th District.",2019-10-29,06:50 PM,5105
19-0572,2019-11-01 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-19 at 8:56 PM, officers acted in an unprofessional manner and violated departmental directives while in the confines of the 39th District.",2019-10-22,08:56 PM,5106
19-0573,2019-11-01 04:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 7-16-19 at 12:57 AM, they did not receive proper service and were treated unprofessionally by officers while in the confines of the 18th District.",2019-07-16,12:57 AM,5107
19-0574,2019-11-01 04:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-5-19 at 10:00 AM, their vehicle was improperly searched by officers while in the confines of the 25th District.",2019-10-05,10:00 AM,5108
19-0575,2019-11-05 05:00:00+00,3900,DOMESTIC,"According to the complainant, for the past 2 years, they were harassed by an off-duty officer while in the confines of the 39th District.",,,5109
19-0576,2019-11-05 05:00:00+00,1600,VERBAL ABUSE,"According to the complainant, on 10-28-19 at 1:00 PM, they were verbally abused and did not receive proper service from an unknown dispatcher while in the confines of the 16th District.",2019-10-28,01:00 PM,5110
19-0577,2019-11-05 05:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, in October of 2019, officers violated departmental policies and failed to provide proper service while in the confines of the 25th District.",,,5111
20-0280,2020-06-16 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-20 at 12:30 AM, departmental policies were violated by officers in the confines of the 39th District.",2020-06-01,12:30 AM,5496
20-0281,2020-06-16 04:00:00+00,1900,LACK OF SERVICE,"According to the complainant, on 6-9-20, they did not receive proper service from officers while in the confines of the 19th District.",2020-06-09,,5497
20-0282,2020-06-17 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-30-20 at 8:59 AM, their property was improperly searched by an officer assigned to the 39th District.",2020-05-30,08:59 AM,5498
20-0283,2020-06-17 04:00:00+00,0200,VERBAL ABUSE,"According to the complainant, on 5-30-20, they did not receive proper service and were verbally abused by an officer assigned to the 2nd District.",2020-05-30,,5499
20-0284,2020-06-17 04:00:00+00,1800,LACK OF SERVICE,"According to the complainant, sometime in the beginning of February 2020, they did not receive proper service from officers while in the confines of the 18th District.",,,5500
20-0285,2020-06-17 04:00:00+00,1800,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 5-29-20 at 11:40 AM, they were racially profiled by officers assigned to the 18th District.",2020-05-29,11:40 AM,5501
20-0286,2020-06-16 04:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 5-13-20 at 1:00 PM, they did not receive proper service from an officer assigned to the 3rd District.",2020-05-13,01:00 PM,5502
20-0287,2020-06-19 04:00:00+00,1500,PHYSICAL ABUSE,"According to the complainant, on 6-11-20 at 3:30 PM, departmental policies were violated and they were physically abused by unknown officers within the confines of the 15th District.",2020-06-11,03:30 PM,5503
20-0288,2020-06-15 04:00:00+00,0100,LACK OF SERVICE,"According to the complainant, on 6-13-20 at 8:48 PM, they did not receive proper service from officers while in the confines of the 1st District.",2020-06-13,08:48 PM,5504
20-0289,2020-06-25 04:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 6-15-20 at 9:05 AM, they did not receive proper service from an unknown dispatcher while in the confines of the 3rd District.",2020-06-15,09:05 AM,5505
20-0290,2020-06-16 04:00:00+00,0100,LACK OF SERVICE,"According to the complainant, on 6-14-20, they did not receive proper service from a supervisor assigned to the Narcotics Field Unit while in the confines of the 1st District.",2020-06-14,,5506
